forum_name,forum_name_en,description,forum_url
แกลเลอรี่,gallery,ภาพถ่ายบุคคล ภาพถ่ายทิวทัศน์ ภาพถ่ายมาโคร,https://pantip.com/forum/gallery
กรีนโซน,greenzone,อนุรักษ์สิ่งแวดล้อม อนุรักษ์พลังงาน Green Living การออกแบบเพื่อสิ่งแวดล้อม ผลิตภัณฑ์รักษ์โลก เกษตรอินทรีย์,https://pantip.com/forum/greenzone
บางขุนพรหม,tvshow,ละคร นักแสดง ซีรี่ส์ รายการโทรทัศน์ สถานีโทรทัศน์,https://pantip.com/forum/tvshow
โต๊ะเครื่องแป้ง,beauty,เครื่องสำอาง เสริมสวย แฟชั่น เครื่องประดับ ลดความอ้วน,https://pantip.com/forum/beauty
ชายคา,home,บ้าน คอนโดมิเนียม ตกแต่งบ้าน เฟอร์นิเจอร์ เครื่องใช้ไฟฟ้า เครื่องครัว,https://pantip.com/forum/home
ก้นครัว,food,ร้านอาหาร สูตรอาหาร อาหารคาว อาหารหวาน เบเกอรี่ ไอศกรีม,https://pantip.com/forum/food
เฉลิมกรุง,chalermkrung,นักร้องนักดนตรี เพลง เครื่องดนตรี คอนเสิร์ต มิวสิควิดีโอ,https://pantip.com/forum/chalermkrung
เฉลิมไทย,chalermthai,ภาพยนตร์ ดาราภาพยนตร์ ค่ายหนัง เทศกาลหนัง หนังสั้น,https://pantip.com/forum/chalermthai
ชานเรือน,family,ครอบครัว ตั้งครรภ์ ตั้งชื่อลูก การเลี้ยงลูก การสอนลูก,https://pantip.com/forum/family
ถนนนักเขียน,writer,แต่งนิยาย เรื่องสั้น กลอน นิทาน,https://pantip.com/forum/writer
บลูแพลนเน็ต,blueplanet,เที่ยวไทย เที่ยวต่างประเทศ ทะเล ภูเขา เกาะ น้ำตก ดำน้ำ สายการบิน,https://pantip.com/forum/blueplanet
พันทิป,pantip,ข้อเสนอแนะถึงพันทิป วิธีการใช้งานพันทิป กิจกรรมพันทิป,https://pantip.com/forum/pantip
รัชดา,ratchada,รถยนต์ มอเตอร์ไซค์ เครื่องเสียงรถยนต์ แต่งรถ การจราจร,https://pantip.com/forum/ratchada
ศาลาประชาคม,social,กฎหมาย ปัญหาสังคม ปัญหาชีวิต เศรษฐกิจ คุ้มครองผู้บริโภค,https://pantip.com/forum/social
ศาสนา,religious,ศาสนาพุทธ ศาสนาคริสต์ ศาสนาอิสลาม เที่ยววัด ทำบุญ,https://pantip.com/forum/religious
ศุภชลาศัย,supachalasai,กีฬา ฟุตบอล บาสเกตบอล มวยสากล กอล์ฟ จักรยาน นักกีฬา,https://pantip.com/forum/supachalasai
สยามสแควร์,siam,ชีวิตวัยรุ่น การเรียน โรงเรียน มหาวิทยาลัย ความรักวัยรุ่น เกม,https://pantip.com/forum/siam
สินธร,sinthorn,หุ้น เศรษฐกิจ การลงทุน LTF RMF ธนาคาร เงินตราต่างประเทศ,https://pantip.com/forum/sinthorn
หว้ากอ,wahkor,วิทยาศาสตร์ วิศวกรรม เทคโนโลยี ฟิสิกส์ ดาราศาสตร์ อวกาศ,https://pantip.com/forum/wahkor
หอศิลป์,art,ศิลปะ ภาพวาด ประวัติศาสตร์ศิลป์ สื่อประสม Graphic Design,https://pantip.com/forum/art
การ์ตูน,cartoon,การ์ตูนญี่ปุ่น การ์ตูนไทย การ์ตูนฝรั่ง อนิเมะ วาดการ์ตูน ของสะสมจากการ์ตูน คอสเพลย์,https://pantip.com/forum/cartoon
บางรัก,bangrak,ความรัก แต่งงาน พรีเวดดิ้ง ปัญหาชีวิตคู่,https://pantip.com/forum/bangrak
กรุงโซล,korea,K-POP ซีรีส์เกาหลี นักแสดงเกาหลี อาหารเกาหลี เที่ยวเกาหลี แฟชั่นเกาหลี ภาษาเกาหลี,https://pantip.com/forum/korea
แก็ดเจ็ต,gadget,"Gadget, Action Camera, Drone, Game Console, Smartwatch, Smartband",https://pantip.com/forum/gadget
ไร้สังกัด,isolate,กระทู้อื่นๆ ที่ไม่สังกัดห้องไหนเลย,https://pantip.com/forum/isolate
